keys,es,en,fr,cat
language,Idioma: Español,Language: English,Langue: Française,Idioma: Català
back_to_main_menu,Volver al menú principal,Back to main menu,Revenir au menu principal,Tornar al menú principal
the_end,El fin,The end,La fin,El final
the_end_description,Consigue estos recursos para completar el juego,Get these resources to complete the game,Obtenez ces ressources pour terminer le jeu,Aconsegueix aquests recursos per acabar el joc
pruner,Podadora,Pruner,Sécateur,Podadora
pruner_description,Permite arrancar hierbas mas rápido,Allows you to pull out grass faster,Vous permet d'arracher les herbes plus rapidement,Permet arrencar herbes més ràpidament
barley,Cebada,Barley,Orge,Civada
barley_description,Plantala para conseguir cebada,Plant it to get barley,Plantez-le pour obtenir de l'orge,Planta-la per aconseguir civada
goat,Cabra,Goat,Chèvre,Cabra
goat_description,Come cebada y produce dinero por algún motivo,Eats barley and makes money for some reason,Mange de l'orge et gagne de l'argent,Menja civada i produeix calers per algún motiu
fermenter,Fermentador,Fermenter,Fermenteur,Fermentador
fermenter_description,Cargalo de cebada para hacer cerveza,Load it with barley to make beer,Chargez-le d'orge pour faire de la bière,Carrega’l de civada per fer cervesa
laborer,Jornalero,Laborer,Ouvrier,Jornaler
laborer_description,A cambio de cerveza recoge cebada por ti,In exchange for beer he collects barley for you,En échange de bière il récupère de l'orge pour toi,A canvi de cervesa recull civada per a tu
fertilizer,Fertilizante,Fertilizer,Engrais,Fertilitzant
fertilizer_description,Consigue que crezcan mas hierbas y mas rápido,Get more grass and grow it faster,Obtenez plus d'herbe et faites-la pousser plus vite,Aconsegueix que creixin més herbes i més ràpid
